Places,Latitude,Longitude
"Birmingham, Alabama",33.5186,86.8104
"Nashville, Tennessee",36.1627,86.7816
"Hilton Head Island, South Carolina",,
"Tallahassee, Florida",30.4383,84.2807
"Columbia, South Carolina ","
34.0007",81.0348
"Raleigh, North Carolina",35.7796,78.6382
"Lexington, Kentucky",38.0406,84.5037
"Charleston, West Virginia ",38.3498,81.6326
"Richmond, Virginia ",37.5407,77.436
"Columbia, South Carolina ",34.0007,81.0348
"Albany, New York",42.6526,73.7562
"Boston, Massachuetts",42.3601,71.0589
"Portland, Maine","
43.6591",70.2568
"Providence, Rhode Island",41.824,71.4128
"Hackensack, New Jersey ",40.8859,74.0435
"Baltimore, Maryland",39.2904,76.6122
"Washington, D.C.",38.9072,77.0369
"Columbus, Ohio",39.9612,82.9988
"Hartford, Connecticut",41.7658,72.6734
"Concord, New Hampshire",43.2081,71.5376
"Harrisburg, Pennsylvania ",40.2732,76.8867
